--- Execution profile ---
Total samples:         162969
Non-Java:              3461 (2.12%)
Unknown (native):      5550 (3.41%)
Not walkable (native): 26 (0.02%)
Unknown (Java):        20146 (12.36%)
Not walkable (Java):   475 (0.29%)
Deopt:                 6 (0.00%)

Frame buffer usage:    28.2024%

      events  percent  samples  top
        2026    0.00%        2  vsnprintf
        2026    0.00%        2  pipe_write_[k]
        2026    0.00%        2  G1NewTracer::send_old_evacuation_statistics(G1EvacSummary const&) const
        2023    0.00%        2  __mutex_lock.isra.2_[k]
        2022    0.00%        2  java.util.Formatter$FormatSpecifier.print
        2022    0.00%        2  tcp_grow_window.isra.39_[k]
        2021    0.00%        2  io.netty.channel.DefaultChannelConfig.getAllocator
        2020    0.00%        2  PerfString::set_string(char const*)
        2020    0.00%        2  LogDecorations::LogDecorations(LogLevel::type, LogTagSet const&, LogDecorators const&)
        2020    0.00%        2  stringStream::stringStream(char*, unsigned long)
        2020    0.00%        2  G1MMUTracer::send_g1_mmu_event(double, double, double)
        2019    0.00%        2  Node::replace_by(Node*)
        2018    0.00%        2  Threads::possibly_parallel_threads_do(bool, ThreadClosure*)
        2018    0.00%        2  java.lang.StrictMath.ceil
        2018    0.00%        2  java.util.regex.Pattern$GroupHead.match
        2017    0.00%        2  io.netty.buffer.AbstractByteBuf.discardSomeReadBytes
        2017    0.00%        2  tcp_v6_inbound_md5_hash_[k]
        2016    0.00%        2  kmem_cache_alloc_[k]
        2015    0.00%        2  MetaspaceCounters::update_performance_counters()
        2015    0.00%        2  DirtyCardQueueSet::apply_closure_during_gc(CardTableEntryClosure*, unsigned int)
        2014    0.00%        2  G1ParTask::work(unsigned int)
        2014    0.00%        2  sys_timerfd_settime_[k]
        2014    0.00%        2  PhaseTransform::PhaseTransform(Phase::PhaseNumber)
        2013    0.00%        2  sys_writev_[k]
        2013    0.00%        2  java.lang.AbstractStringBuilder.<init>
        2013    0.00%        2  SparsePRT::clear()
        2013    0.00%        2  void OopOopIterateDispatch<G1ScanObjsDuringUpdateRSClosure>::Table::oop_oop_iterate<InstanceRefKlass, unsigned int>(G1ScanObjsDuringUpdateRSClosure*, oopDesc*, Klass*)
        2013    0.00%        2  io.netty.handler.codec.ByteToMessageDecoder$1.cumulate
        2011    0.00%        2  ReferenceProcessor::process_soft_weak_final_refs(BoolObjectClosure*, OopClosure*, VoidClosure*, AbstractRefProcTaskExecutor*, ReferenceProcessorPhaseTimes*)
        2011    0.00%        2  java.io.OutputStreamWriter.write
        2011    0.00%        2  __put_page_[k]
        2011    0.00%        2  java.util.Formatter$FixedString.print
        2011    0.00%        2  G1BlockOffsetTablePart::alloc_block_work(HeapWord**, unsigned long*, HeapWord*, HeapWord*)
        2011    0.00%        2  HeapRegion::block_size(HeapWord const*) const
        2010    0.00%        2  G1CollectedHeap::trace_heap(GCWhen::Type, GCTracer const*)
        2010    0.00%        2  CompiledMethod::preserve_callee_argument_oops(frame, RegisterMap const*, OopClosure*)
        2010    0.00%        2  PhiNode::Value(PhaseGVN*) const
        2009    0.00%        2  Compile::BuildOopMaps()
        2009    0.00%        2  I2C/C2I adapters
        2009    0.00%        2  pick_next_task_idle_[k]
        2009    0.00%        2  oopDesc::size()
        2009    0.00%        2  io.netty.buffer.WrappedByteBuf.writeBytes
        2008    0.00%        2  ReferenceProcessor::process_final_keep_alive(OopClosure*, VoidClosure*, AbstractRefProcTaskExecutor*, ReferenceProcessorPhaseTimes*)
        2008    0.00%        2  clean_if_nmethod_is_unloaded(CompiledStaticCall*, CompiledMethod*, bool, bool)
        2008    0.00%        2  intel_atomic_commit_ready	[i915]_[k]
        2007    0.00%        2  io.netty.handler.codec.CodecOutputList.recycle
        2007    0.00%        2  NMethodSweeper::sweep_code_cache()
        2007    0.00%        2  Node::Ideal(PhaseGVN*, bool)
        2006    0.00%        2  os::get_native_priority(Thread const*, int*)
        2006    0.00%        2  rRegPOper::type() const
        2006    0.00%        2  java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.setIndex
        2006    0.00%        2  SharedRuntime::java_calling_convention(BasicType const*, VMRegPair*, int, int)
        2006    0.00%        2  io.netty.util.internal.PlatformDependent0.getInt
        2006    0.00%        2  JNIHandles::make_local(JNIEnv_*, oopDesc*)
        2006    0.00%        2  intel_pmu_disable_all_[k]
        2005    0.00%        2  io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe.flush0
        2005    0.00%        2  io.netty.util.concurrent.SingleThreadEventExecutor.fetchFromScheduledTaskQueue
        2005    0.00%        2  AgeTable::AgeTable(bool)
        2005    0.00%        2  JvmtiCurrentBreakpoints::oops_do(OopClosure*)
        2005    0.00%        2  OopMapCache::cleanup_old_entries()
        2004    0.00%        2  __libc_alloca_cutoff
        2002    0.00%        2  PhaseIdealLoop::get_ctrl(Node*)
        2002    0.00%        2  java.lang.invoke.VarHandleGuards.guard_LI_V
        2002    0.00%        2  java.lang.String.valueOf
        2002    0.00%        2  java.util.Formatter$FormatSpecifier.print
        2001    0.00%        2  JVM_CurrentThread
        2001    0.00%        2  deactivate_task_[k]
        2001    0.00%        2  Type::cmp(Type const*, Type const*)
        2001    0.00%        2  vtable stub
        2001    0.00%        2  java.util.Formatter.<init>
        2000    0.00%        2  SystemDictionary::vm_weak_oop_storage()
        2000    0.00%        2  java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.getDelay
        2000    0.00%        2  PhiNode::Ideal(PhaseGVN*, bool)
        1999    0.00%        2  G1RemSet::update_rem_set(G1ParScanThreadState*, unsigned int)
        1999    0.00%        2  java.util.concurrent.ThreadPoolExecutor$Worker.lock
        1999    0.00%        2  java.util.Formatter.ensureOpen
        1999    0.00%        2  RuntimeService::record_safepoint_end()
        1999    0.00%        2  NativeCall::destination() const
        1998    0.00%        2  SymbolTable::lookup(int, char const*, int, unsigned int)
        1998    0.00%        2  PhaseChaitin::build_ifg_physical(ResourceArea*)
        1998    0.00%        2  itable stub
        1998    0.00%        2  Compile::remove_useless_nodes(Unique_Node_List&)
        1998    0.00%        2  elapsedTimer::stop()
        1997    0.00%        2  CallStaticJavaDirectNode::emit(CodeBuffer&, PhaseRegAlloc*) const
        1997    0.00%        2  __default_send_IPI_dest_field_[k]
        1997    0.00%        2  State::_sub_Op_AddP(Node const*)
        1997    0.00%        2  java.lang.StringLatin1.indexOf
        1996    0.00%        2  java.util.Formatter$FormatSpecifier.print
        1995    0.00%        2  LinkResolver::resolve_virtual_call_or_null(Klass*, LinkInfo const&)
        1995    0.00%        2  CodeCache::reverse_free_ratio(int)
        1994    0.00%        2  java.util.regex.Pattern$BmpCharPropertyGreedy.match
        1994    0.00%        2  OverflowTaskQueue<StarTask, (MemoryType)5, 131072u>::push(StarTask) [clone .constprop.517]
        1994    0.00%        2  org.HdrHistogram.Recorder$InternalAtomicHistogram.<init>
        1994    0.00%        2  Unsafe_PutLongVolatile
        1993    0.00%        2  InterpreterRuntime::newarray(JavaThread*, BasicType, int)
        1993    0.00%        2  DirtyCardQueueSet::par_apply_closure_to_all_completed_buffers(CardTableEntryClosure*)
        1993    0.00%        2  GCTracer::report_gc_start_impl(GCCause::Cause, TimeInstant<CompositeCounterRepresentation, CompositeElapsedCounterSource> const&)
        1993    0.00%        2  G1GCPhaseTimes::sum_thread_work_items(G1GCPhaseTimes::GCParPhases, unsigned int)
        1992    0.00%        2  nmethod::fix_oop_relocations(unsigned char*, unsigned char*, bool)
        1992    0.00%        2  G1Policy::young_list_target_lengths(unsigned long) const
        1992    0.00%        2  new_sync_write_[k]
        1992    0.00%        2  CompiledMethod::oops_reloc_begin() const
        1991    0.00%        2  AgeTable::compute_tenuring_threshold(unsigned long)
        1991    0.00%        2  G1EvacPhaseWithTrimTimeTracker::G1EvacPhaseWithTrimTimeTracker(G1ParScanThreadState*, TimeInterval<CompositeCounterRepresentation, CompositeElapsedCounterSource>&, TimeInterval<CompositeCounterRepresentation, CompositeElapsedCounterSource>&)
        1991    0.00%        2  OopStorage::ActiveArray::block_count() const
        1991    0.00%        2  PerfEvents::destroyForThread(int)
        1990    0.00%        2  MachNode::ideal_reg() const
        1990    0.00%        2  reactor.core.publisher.FluxGroupBy$UnicastGroupedFlux.onNext
        1990    0.00%        2  java.lang.Thread.currentThread
        1990    0.00%        2  GrowableArray<Instruction*>::grow(int)
        1990    0.00%        2  java.util.concurrent.TimeUnit.toNanos
        1989    0.00%        2  reactor.core.publisher.Mono.doFinally
        1988    0.00%        2  java.util.concurrent.locks.AbstractQueuedSynchronizer.acquire
        1988    0.00%        2  G1EvacStats::compute_desired_plab_sz()
        1988    0.00%        2  org.HdrHistogram.WriterReaderPhaser.flipPhase
        1988    0.00%        2  jdk.internal.misc.Unsafe.getAndSetLong
        1988    0.00%        2  io.netty.buffer.PooledByteBuf.capacity
        1988    0.00%        2  java.util.concurrent.locks.ReentrantLock.lock
        1988    0.00%        2  AbstractWorkGang::add_workers(unsigned int, bool)
        1987    0.00%        2  IndexSetIterator::advance_and_next()
        1987    0.00%        2  io.netty.buffer.WrappedByteBuf.maxCapacity
        1987    0.00%        2  Parse::do_one_bytecode()
        1986    0.00%        2  org.HdrHistogram.AbstractHistogram.determineArrayLengthNeeded
        1985    0.00%        2  outputStream::print(char const*, ...)
        1985    0.00%        2  io.netty.channel.unix.FileDescriptor.writeAddress
        1984    0.00%        2  java.util.Formatter$FormatSpecifier.printString
        1983    0.00%        2  vtable stub
        1983    0.00%        2  vtable stub
        1983    0.00%        2  java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run
        1982    0.00%        2  org.HdrHistogram.WriterReaderPhaser.readerLock
        1980    0.00%        2  CodeHeap::deallocate(void*)
        1980    0.00%        2  I2C/C2I adapters
        1979    0.00%        2  VM_Operation::evaluate()
        1979    0.00%        2  io.netty.channel.SingleThreadEventLoop.hasTasks
        1978    0.00%        2  java.nio.Buffer.<init>
        1978    0.00%        2  HeapRegionRemSet::add_strong_code_root(nmethod*)
        1978    0.00%        2  G1CollectedHeap::start_new_collection_set()
        1977    0.00%        2  java.io.BufferedOutputStream.flush
        1975    0.00%        2  java_lang_ref_Reference::is_referent_field(oopDesc*, long)
        1975    0.00%        2  org.HdrHistogram.AbstractHistogram.establishSize
        1975    0.00%        2  G1CMRootRegions::wait_until_scan_finished()
        1973    0.00%        2  WorkerDataArray<double>::uninitialized()
        1972    0.00%        2  java.util.concurrent.ThreadPoolExecutor$Worker.tryRelease
        1971    0.00%        2  void OopOopIterateDispatch<G1ScanObjsDuringUpdateRSClosure>::Table::oop_oop_iterate<ObjArrayKlass, unsigned int>(G1ScanObjsDuringUpdateRSClosure*, oopDesc*, Klass*)
        1971    0.00%        2  __GI__IO_padn
        1971    0.00%        2  io.netty.buffer.PoolArena$DirectArena.memoryCopy
        1969    0.00%        2  Matcher::Label_Root(Node const*, State*, Node*, Node const*)
        1968    0.00%        2  JvmtiCodeBlobEvents::build_jvmti_addr_location_map(nmethod*, _jvmtiAddrLocationMap**, int*)
        1967    0.00%        2  java.util.concurrent.locks.AbstractQueuedSynchronizer.transferAfterCancelledWait
        1966    0.00%        2  PLAB::flush_and_retire_stats(PLABStats*)
        1965    0.00%        2  java.lang.invoke.VarHandleLongs$Array.getVolatile
        1963    0.00%        2  java.util.concurrent.atomic.AtomicLongFieldUpdater$CASUpdater.set
        1960    0.00%        2  io.netty.util.concurrent.SingleThreadEventExecutor.isShuttingDown
        1958    0.00%        2  VMThread::evaluate_operation(VM_Operation*) [clone .constprop.54]
        1952    0.00%        2  java.io.PrintStream.write
        1951    0.00%        2  Assembler::locate_operand(unsigned char*, Assembler::WhichOperand)
        1949    0.00%        2  org.HdrHistogram.Recorder.getIntervalHistogram
        1945    0.00%        2  PosixSemaphore::signal(unsigned int)
        1944    0.00%        2  __pthread_cleanup_pop
        1938    0.00%        2  G1CollectedHeap::create_g1_heap_summary()
        1929    0.00%        2  SafepointSynchronize::do_cleanup_tasks()
        1919    0.00%        2  nmethod::oops_do_marking_prologue()
        1919    0.00%        2  SemaphoreGangTaskDispatcher::coordinator_execute_on_workers(AbstractGangTask*, unsigned int)
        1079    0.00%        1  ip_finish_output2_[k]
        1073    0.00%        1  _IO_no_init
        1065    0.00%        1  G1CollectedHeap::safepoint_synchronize_begin()
        1061    0.00%        1  getname_[k]
        1061    0.00%        1  __tasklet_schedule_[k]
        1060    0.00%        1  RuntimeService::record_safepoint_begin()
        1058    0.00%        1  evdev_events_[k]
        1057    0.00%        1  queue_work_on_[k]
        1053    0.00%        1  VM_Operation::evaluation_mode() const
        1050    0.00%        1  os::vsnprintf(char*, unsigned long, char const*, __va_list_tag*)
        1048    0.00%        1  g4x_get_vblank_counter	[i915]_[k]
        1047    0.00%        1  G1Policy::adaptive_young_list_length() const
        1047    0.00%        1  __wake_up_[k]
        1044    0.00%        1  __mempcpy_avx_unaligned_erms
        1044    0.00%        1  enqueue_task_rt_[k]
        1042    0.00%        1  rb_erase_cached_[k]
        1042    0.00%        1  LeakProfiler::oops_do(BoolObjectClosure*, OopClosure*)
        1040    0.00%        1  __msecs_to_jiffies_[k]
        1039    0.00%        1  ath10k_wmi_tlv_parse_alloc.constprop.15	[ath10k_core]_[k]
        1037    0.00%        1  atkbd_interrupt_[k]
        1037    0.00%        1  clear_page_erms_[k]
        1037    0.00%        1  scsi_softirq_done_[k]
        1036    0.00%        1  intel_uncore_forcewake_get	[i915]_[k]
        1036    0.00%        1  __dev_kfree_skb_any_[k]
        1035    0.00%        1  ath10k_htt_htc_t2h_msg_handler	[ath10k_core]_[k]
        1035    0.00%        1  drm_calc_vbltimestamp_from_scanoutpos	[drm]_[k]
        1034    0.00%        1  Runtime1::new_instance(JavaThread*, Klass*)
        1034    0.00%        1  ath10k_pci_disable_and_clear_legacy_irq	[ath10k_pci]_[k]
        1033    0.00%        1  dequeue_rt_stack_[k]
        1033    0.00%        1  __mod_node_page_state_[k]
        1032    0.00%        1  org.HdrHistogram.HistogramIterationValue.reset
        1031    0.00%        1  free_unref_page_prepare.part.64_[k]
        1031    0.00%        1  PLABStats::desired_plab_sz(unsigned int)
        1031    0.00%        1  CompileQueue::add(CompileTask*)
        1030    0.00%        1  ClassLoaderDataGraph::resize_if_needed()
        1030    0.00%        1  drm_printk	[drm]_[k]
        1030    0.00%        1  rcu_segcblist_advance_[k]
        1030    0.00%        1  blk_update_request_[k]
        1030    0.00%        1  __nf_conntrack_find_get	[nf_conntrack]_[k]
        1029    0.00%        1  StackFrameStream::StackFrameStream(JavaThread*, bool)
        1029    0.00%        1  G1EvacuationClosures::strong_clds()
        1027    0.00%        1  generic_pipe_buf_confirm_[k]
        1026    0.00%        1  do_timer_[k]
        1026    0.00%        1  tcp_data_queue_[k]
        1026    0.00%        1  java.util.Formatter$FormatSpecifier.appendJustified
        1026    0.00%        1  TypeAry::cleanup_speculative() const
        1026    0.00%        1  ath10k_wmi_process_rx	[ath10k_core]_[k]
        1026    0.00%        1  VM_GC_Operation::skip_operation() const
        1026    0.00%        1  i915_sw_fence_complete	[i915]_[k]
        1025    0.00%        1  __sb_start_write_[k]
        1025    0.00%        1  State::_sub_Op_DecodeN(Node const*)
        1025    0.00%        1  is_init_completed()
        1025    0.00%        1  ath10k_ce_per_engine_service	[ath10k_pci]_[k]
        1025    0.00%        1  ioread32_[k]
        1025    0.00%        1  G1CollectedHeap::pre_evacuate_collection_set()
        1025    0.00%        1  nf_ct_seq_offset	[nf_conntrack]_[k]
        1025    0.00%        1  tcp_rate_skb_delivered_[k]
        1024    0.00%        1  tick_nohz_tick_stopped_[k]
        1024    0.00%        1  java.util.concurrent.TimeUnit.convert
        1024    0.00%        1  handle_mm_fault_[k]
        1024    0.00%        1  LoadKlassNode::make(PhaseGVN&, Node*, Node*, Node*, TypePtr const*, TypeKlassPtr const*)
        1024    0.00%        1  adjust_dual_[k]
        1024    0.00%        1  frame::oops_entry_do(OopClosure*, RegisterMap const*)
        1024    0.00%        1  ret_from_intr_[k]
        1024    0.00%        1  copy_page_from_iter_[k]
        1023    0.00%        1  drm_vblank_put	[drm]_[k]
        1023    0.00%        1  clockevents_program_event_[k]
        1023    0.00%        1  alloc_pages_vma_[k]
        1023    0.00%        1  G1ParScanThreadState::G1ParScanThreadState(G1CollectedHeap*, unsigned int, unsigned long)
        1023    0.00%        1  consume_skb_[k]
        1022    0.00%        1  io.netty.buffer.PoolThreadCache$MemoryRegionCache.trim
        1022    0.00%        1  select_task_rq_rt_[k]
        1022    0.00%        1  GCLocker::check_active_before_gc()
        1022    0.00%        1  LinkResolver::resolve_interface_method(LinkInfo const&, Bytecodes::Code, Thread*)
        1022    0.00%        1  hash_futex_[k]
        1022    0.00%        1  ciObjectFactory::vm_symbol_at(int)
        1022    0.00%        1  TraceTime::TraceTime(char const*, void (*)(char const*, ...))
        1021    0.00%        1  rcu_irq_enter_[k]
        1021    0.00%        1  swake_up_locked.part.2_[k]
        1021    0.00%        1  read_hpet_[k]
        1021    0.00%        1  get_futex_value_locked_[k]
        1021    0.00%        1  can_remove(CompilerThread*, bool) [clone .part.138]
        1020    0.00%        1  G1NewTracer::send_basic_ihop_statistics(unsigned long, unsigned long, unsigned long, unsigned long, double, double)
        1020    0.00%        1  sock_zerocopy_put_[k]
        1020    0.00%        1  HSpaceCounters::update_capacity(unsigned long)
        1020    0.00%        1  input_to_handler_[k]
        1020    0.00%        1  MachTypeNode::bottom_type() const
        1019    0.00%        1  wakeup_preempt_entity.isra.69_[k]
        1019    0.00%        1  SystemDictionaryShared::oops_do(OopClosure*)
        1019    0.00%        1  send_vblank_event	[drm]_[k]
        1019    0.00%        1  ParallelSPCleanupThreadClosure::do_thread(Thread*)
        1019    0.00%        1  GlobalTLABStats::publish()
        1018    0.00%        1  RegMask::clear_to_pairs()
        1018    0.00%        1  outputStream::do_vsnprintf_and_write_with_automatic_buffer(char const*, __va_list_tag*, bool)
        1018    0.00%        1  Compile::TracePhase::TracePhase(char const*, elapsedTimer*)
        1018    0.00%        1  io.netty.buffer.PoolThreadCache$NormalMemoryRegionCache.initBuf
        1018    0.00%        1  G1AdaptiveIHOPControl::print()
        1018    0.00%        1  get_work_pool_[k]
        1017    0.00%        1  MemRegion::intersection(MemRegion) const
        1017    0.00%        1  jdk.internal.math.FormattedFloatingDecimal.applyPrecision
        1017    0.00%        1  runtime_call_Relocation::type()
        1017    0.00%        1  drop_futex_key_refs.isra.14_[k]
        1017    0.00%        1  CmpINode::Opcode() const
        1017    0.00%        1  nr_blockdev_pages_[k]
        1017    0.00%        1  hrtimer_init_[k]
        1017    0.00%        1  current_kernel_time64_[k]
        1016    0.00%        1  java.util.regex.Pattern.inRange
        1016    0.00%        1  PhiNode::Opcode() const
        1016    0.00%        1  ScopeDesc::ScopeDesc(CompiledMethod const*, int, bool, bool, bool)
        1016    0.00%        1  io.netty.buffer.WrappedByteBuf.discardSomeReadBytes
        1016    0.00%        1  attach_entity_load_avg_[k]
        1016    0.00%        1  Method::set_code(methodHandle const&, CompiledMethod*)
        1015    0.00%        1  PLAB::PLAB(unsigned long)
        1015    0.00%        1  hrtick_update_[k]
        1015    0.00%        1  io.netty.util.Recycler$Stack.newHandle
        1015    0.00%        1  VM_G1CollectForAllocation::doit_prologue()
        1015    0.00%        1  __new_sem_wait_slow.constprop.0
        1015    0.00%        1  common_interrupt_[k]
        1014    0.00%        1  Relocation::pd_set_data_value(unsigned char*, long, bool)
        1014    0.00%        1  PhaseIdealLoop::build_and_optimize(bool, bool, bool)
        1014    0.00%        1  sun.misc.Unsafe.getObjectVolatile
        1014    0.00%        1  _linkToStatic
        1014    0.00%        1  complete_all_[k]
        1014    0.00%        1  do_rps_boost	[i915]_[k]
        1014    0.00%        1  org.HdrHistogram.RecordedValuesIterator.reset
        1014    0.00%        1  __brelse_[k]
        1014    0.00%        1  __mnt_drop_write_file_[k]
        1014    0.00%        1  ReferenceProcessor::process_soft_ref_reconsider(BoolObjectClosure*, OopClosure*, VoidClosure*, AbstractRefProcTaskExecutor*, ReferenceProcessorPhaseTimes*)
        1014    0.00%        1  MethodLiveness::BasicBlock::compute_gen_kill_single(ciBytecodeStream*)
        1014    0.00%        1  Thread::get_priority(Thread const*)
        1013    0.00%        1  io.netty.channel.epoll.EpollEventArray.length
        1013    0.00%        1  ciSignature::type_at(int) const
        1013    0.00%        1  sun.nio.cs.StreamEncoder.flushBuffer
        1013    0.00%        1  _raw_read_lock_[k]
        1013    0.00%        1  BitMap::set_from(BitMap const&)
        1013    0.00%        1  CodeHeap::next_used(HeapBlock*) const
        1013    0.00%        1  Monitor::notify()
        1013    0.00%        1  AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<573558ul, G1BarrierSet>, (AccessInternal::BarrierType)3, 573558ul>::oop_access_barrier(oopDesc*, long)
        1013    0.00%        1  G1CollectedHeap::gc_epilogue(bool)
        1012    0.00%        1  java.lang.invoke.VarHandle.getTypesAndInvokers
        1012    0.00%        1  G1CollectedHeap::evacuate_collection_set(G1ParScanThreadStateSet*)
        1012    0.00%        1  timerfd_fget_[k]
        1012    0.00%        1  G1CollectedHeap::capacity() const
        1012    0.00%        1  ath10k_ce_completed_send_next_nolock	[ath10k_pci]_[k]
        1012    0.00%        1  G1CodeRootSet::nmethods_do(CodeBlobClosure*) const
        1012    0.00%        1  iommu_is_span_boundary_[k]
        1011    0.00%        1  IndexSet::alloc_block_containing(unsigned int)
        1011    0.00%        1  GCIdMark::GCIdMark()
        1011    0.00%        1  ProfileData::is_VirtualCallTypeData() const
        1011    0.00%        1  account_kernel_stack_[k]
        1011    0.00%        1  G1ConcurrentRefine::adjust(double, unsigned long, double)
        1011    0.00%        1  hrtimer_run_queues_[k]
        1011    0.00%        1  io.netty.handler.codec.ByteToMessageDecoder.discardSomeReadBytes
        1011    0.00%        1  YoungGCTracer::should_send_promotion_in_new_plab_event() const
        1011    0.00%        1  io.netty.util.Recycler$DefaultHandle.access$1402
        1011    0.00%        1  LoadNode::Ideal(PhaseGVN*, bool)
        1011    0.00%        1  JNIHandleBlock::release_block(JNIHandleBlock*, Thread*)
        1011    0.00%        1  G1CollectionSet::start_incremental_building()
        1011    0.00%        1  G1MonitoringSupport::update_sizes()
        1010    0.00%        1  RegionNode::pinned() const
        1010    0.00%        1  io.netty.channel.AdaptiveRecvByteBufAllocator$HandleImpl.lastBytesRead
        1010    0.00%        1  VMOperationQueue::add(VM_Operation*)
        1010    0.00%        1  java.util.regex.Pattern$Start.match
        1010    0.00%        1  LShiftLNode::Ideal(PhaseGVN*, bool)
        1010    0.00%        1  I2C/C2I adapters
        1009    0.00%        1  LinkResolver::check_field_accessability(Klass*, Klass*, Klass*, fieldDescriptor const&, Thread*)
        1009    0.00%        1  io.netty.buffer.PoolThreadCache.cache
        1009    0.00%        1  LinearScan::create_interval(int)
        1009    0.00%        1  PhaseCFG::remove_empty_blocks()
        1009    0.00%        1  org.HdrHistogram.AbstractHistogramBase.<init>
        1009    0.00%        1  PhaseIdealLoop::split_if_with_blocks_pre(Node*)
        1009    0.00%        1  Dependencies::initialize(ciEnv*)
        1009    0.00%        1  MemoryPool::record_peak_memory_usage()
        1009    0.00%        1  ciMethodData::set_compilation_stats(short, short)
        1009    0.00%        1  Compile::print_method(CompilerPhaseType, int) [clone .isra.337]
        1009    0.00%        1  pthread_cond_signal@@GLIBC_2.3.2
        1009    0.00%        1  LIRGenerator::do_If(If*)
        1009    0.00%        1  Assembler::nop(int)
        1008    0.00%        1  Block::has_uncommon_code() const
        1008    0.00%        1  sun.nio.cs.StreamEncoder.implFlushBuffer
        1008    0.00%        1  RootNode::is_block_proj() const
        1008    0.00%        1  ciType::make(BasicType)
        1008    0.00%        1  G1CollectedHeap::satisfy_failed_allocation(unsigned long, bool*)
        1008    0.00%        1  TraceTime::~TraceTime()
        1008    0.00%        1  io.netty.buffer.AbstractByteBuf.writableBytes
        1008    0.00%        1  PhaseIterGVN::operator=(PhaseIterGVN const&)
        1008    0.00%        1  SimpleThresholdPolicy::should_not_inline(ciEnv*, ciMethod*)
        1008    0.00%        1  java.lang.invoke.VarHandle$AccessType.values
        1008    0.00%        1  PhaseAggressiveCoalesce::coalesce(Block*)
        1008    0.00%        1  org.HdrHistogram.AbstractHistogram.getStdDeviation
        1008    0.00%        1  G1RemSet::cleanupHRRS()
        1008    0.00%        1  CompileBroker::compile_method_base(methodHandle const&, int, int, methodHandle const&, int, CompileTask::CompileReason, bool, Thread*) [clone .part.132]
        1008    0.00%        1  JNIHandles::weak_oops_do(BoolObjectClosure*, OopClosure*)
        1007    0.00%        1  ciObjectFactory::ciObjectFactory(Arena*, int)
        1007    0.00%        1  io.netty.channel.epoll.EpollEventLoop.epollWait
        1007    0.00%        1  G1CollectedHeap::max_capacity() const
        1007    0.00%        1  PhaseRemoveUseless::PhaseRemoveUseless(PhaseGVN*, Unique_Node_List*, Phase::PhaseNumber)
        1007    0.00%        1  io.netty.channel.ChannelOutboundBuffer.safeSuccess
        1007    0.00%        1  __GI__IO_vfscanf
        1007    0.00%        1  TaskQueueSetSuper::randomParkAndMiller(int*)
        1007    0.00%        1  Node::match_edge(unsigned int) const
        1007    0.00%        1  GlobalValueNumbering::GlobalValueNumbering(IR*)
        1007    0.00%        1  io.netty.buffer.WrappedByteBuf.retainedSlice
        1007    0.00%        1  io.netty.channel.DefaultSelectStrategy.calculateStrategy
        1007    0.00%        1  JVMState::clone_deep(Compile*) const
        1007    0.00%        1  G1CollectedHeap::tlab_capacity(Thread*) const
        1007    0.00%        1  PhaseChaitin::cache_lrg_info()
        1007    0.00%        1  java.util.regex.Matcher.search
        1007    0.00%        1  InlineTree::try_to_inline(ciMethod*, ciMethod*, int, JVMState*, ciCallProfile&, WarmCallInfo*, bool&)
        1006    0.00%        1  java.util.Formatter$FormatSpecifier.checkBadFlags
        1006    0.00%        1  MachNode::alignment_required() const
        1006    0.00%        1  G1CollectedHeap::used() const
        1006    0.00%        1  G1HeapTransition::print()
        1006    0.00%        1  __jbd2_journal_temp_unlink_buffer_[k]
        1006    0.00%        1  java.util.concurrent.ThreadPoolExecutor.runStateAtLeast
        1006    0.00%        1  PhaseCFG::insert_anti_dependences(Block*, Node*, bool)
        1006    0.00%        1  java.nio.CharBuffer.position
        1006    0.00%        1  os::elapsed_frequency()
        1006    0.00%        1  Node::grow(unsigned int)
        1005    0.00%        1  ciInstanceKlass::get_field_by_offset(int, bool)
        1005    0.00%        1  State::_sub_Op_CmpL(Node const*)
        1005    0.00%        1  Node::is_block_proj() const
        1005    0.00%        1  MachNode::rematerialize() const
        1005    0.00%        1  io.rsocket.RSocketClient.handleStreamZero
        1005    0.00%        1  rcu_start_gp_[k]
        1005    0.00%        1  void QuickSort::inner_sort<true, unsigned int, int (*)(unsigned int, unsigned int)>(unsigned int*, unsigned long, int (*)(unsigned int, unsigned int))
        1005    0.00%        1  PhaseChaitin::bias_color(LRG&, int)
        1005    0.00%        1  tcp_try_coalesce_[k]
        1005    0.00%        1  InlineCacheBuffer::update_inline_caches()
        1005    0.00%        1  ThreadService::oops_do(OopClosure*)
        1005    0.00%        1  ThreadLocalAllocBuffer::make_parsable(bool, bool)
        1005    0.00%        1  PhaseCFG::build_dominator_tree()
        1005    0.00%        1  CompileTask::allocate()
        1004    0.00%        1  OopStorage::release(oopDesc* const*)
        1004    0.00%        1  Parse::Parse(JVMState*, ciMethod*, float)
        1004    0.00%        1  intel_uncore_forcewake_get.part.7	[i915]_[k]
        1004    0.00%        1  G1Policy::should_allocate_mutator_region() const
        1004    0.00%        1  PhaseGVN::transform_no_reclaim(Node*)
        1004    0.00%        1  G1Analytics::report_alloc_rate_ms(double)
        1004    0.00%        1  Compile::print_inlining_update(CallGenerator*)
        1004    0.00%        1  io.netty.util.Recycler$WeakOrderQueue.transfer
